# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200ac5e6ebf4e70
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1200f379556ae540,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.73,23.2,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,456,8403300,6946,8403104,0,256,150,4776,0,112145542,4827105,387160,48839,14336,91565,536,0,268899328,313415,102787
1200f37956251980,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.86,21.08,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,416,8408610,6980,8403104,0,256,32,1024,0,112250918,4830471,387288,27122,14336,92106,1536,0,268899328,310590,103425
1200f37956de82e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8418.11,22.84,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,412,8403319,6984,8427566,0,256,32,1024,0,112222852,4826210,387816,27122,14336,36379,0,1131,268899328,154517,42364
1200f37957948ce0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8418.69,22.12,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,480,8403309,7014,8403104,0,256,32,1024,0,112222879,4828691,387416,0,14336,36410,0,0,268899328,155121,42356
1200f379584e2060,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8416.86,20.68,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,476,8403319,6944,8403104,0,256,32,1024,0,112144792,4829924,387008,5226,14336,36409,0,0,268899328,155492,42363
1200f379590659a0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.54,24.12,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,502,8403302,6976,8403104,0,256,32,1024,0,112134411,4826524,387152,21801,14336,36364,0,0,268986973,140014,43480
1200f37959bfe5e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8419.97,22.04,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,462,8405283,6946,8403104,0,256,32,1024,0,112178461,4826591,386672,48919,14336,70704,0,0,268899328,236460,81362
1200f3795a7a86e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.5,25.28,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458759,1802,4,0,0,0,384,8403708,6944,8403104,0,256,32,1024,0,112248240,4826241,387592,48921,14336,84998,0,0,268919013,287174,95392
1200f3795b35f260,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8415.94,20.48,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,488,8405125,6976,8403104,0,256,379,12072,0,112194993,4827160,386984,27122,14336,110134,0,0,268899328,357823,123003
1200f3795beebe40,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8419.39,24.8,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,476,8403314,7072,8403104,0,256,32,1024,0,113171214,4826490,387120,0,14336,91431,0,0,268899328,311266,102695
1200f3795ca912e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8416.26,25.4,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,440,8403298,6978,8403104,0,256,32,1024,0,112724312,4826237,387072,21788,14336,91080,0,0,268987274,295577,103401
1200f3795d60a440,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8416.86,22.16,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,480,8403319,7006,8403104,0,256,32,1024,0,112281727,4826351,387392,21795,14336,90841,0,0,268911584,311361,101911
1200f3795e19a740,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8419.2,23.4,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,444,8403303,7008,8403104,0,256,32,1024,0,112233021,4828072,386968,48921,14336,91384,0,0,268899328,310553,102593
1200f3795ed93ce0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8416.93,23.68,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,384,8403316,6976,8427737,0,256,32,1024,0,112283835,4826833,387344,48919,14336,63727,0,0,268925896,232761,72314
1200f3795f9e6920,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.25,22.76,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,428,8403316,6948,8403104,0,256,32,1024,0,112249302,4826445,387216,27122,14336,36415,0,4346,268899328,155408,42341
1200f3796055ac00,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8419.74,20.96,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,480,8403326,6954,8403104,0,256,32,1024,0,112228811,4826973,387144,27122,14336,36368,0,0,268899328,139256,43487
1200f37961113440,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.82,20.64,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,472,8403315,6976,8403104,0,256,32,1024,0,112185820,4826468,386936,0,14336,70538,0,0,269061302,235737,81092
1200f37961cbac60,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.57,21.72,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458759,1802,4,0,0,0,538,8403317,6976,8403104,0,256,32,1024,0,112287915,4825312,386864,21790,14336,85536,0,0,268899328,286844,96026
1200f37962804f00,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.22,20.28,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,468,8403303,6978,8403104,0,256,32,1024,0,112174122,4842119,387344,21793,14336,116007,6273,0,268899328,369022,129544
