# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200ac5f7b605e78
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1200c1afaaad9600,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,437.088,5.6,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,136,174080,10880,17,0,5504,0,0,0,0,0,357120,0,326128,0,272,144,4608,11520,9751537,237001,0,595588,7680,102841,7930,87040,42516,11049984,206263,11721
1200c1afaab44900,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1582.72,5.52,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10791,1720,585,48,0,8800,0,1246318,0,1229376,0,2304,40,1280,19200,10762586,715046,26848,920080,88108,311483,88978,122880,61440,44257536,611679,106791
1200c1afaacc7740,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,436.288,5.56,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,144,174080,10880,17,0,6192,0,0,0,0,0,317456,0,326128,0,272,144,4608,11520,11827559,249489,0,596222,7680,108319,7918,92160,44856,11049984,206449,11710
1200c1afaad32720,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1580.45,73.08,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10819,1720,547,48,0,8800,0,1246157,0,1536720,0,2880,32,1024,15360,13170355,714812,27196,920096,85724,312414,88466,122880,61440,39340032,610129,106082
1200c1afaaeb64a0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,437.6,7.6,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,128,174080,10880,17,0,5160,0,0,0,0,0,337288,0,345312,0,288,144,4608,11520,9798976,223944,0,596018,7680,129206,7928,81920,45116,11049984,206735,11725
1200c1afaaf219a0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1583.94,5.64,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10807,1376,447,32,0,8800,0,1557798,0,1229376,0,2304,32,1024,15360,10674776,724009,26820,920076,88732,326027,88854,122880,61440,39340032,614636,106878
1200c1afab0a4c60,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,436.608,5.56,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,144,184320,11520,18,0,5848,0,0,0,0,0,337288,0,330981,0,272,136,4352,10880,9764163,249173,0,596296,7680,102520,7899,92160,44764,10436096,206292,11630
1200c1afab110160,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1588.64,5.52,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10796,1376,449,32,0,8800,0,1246352,0,1229376,0,2304,32,1024,15360,10770871,714734,27064,920056,88016,310545,88420,122880,76800,39340032,612343,106554
1200c1afab2946c0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,436.896,5.56,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,136,184320,11520,18,0,5848,0,0,0,0,0,337288,0,326128,0,272,136,4352,10880,11770008,249228,0,593070,7680,120342,7960,92160,39020,10743040,206374,11690
1200c1afab2ff900,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1583.71,5.52,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10777,1376,452,32,0,8800,0,1557746,0,1229376,0,2304,32,1024,15360,10703673,713993,26888,920068,88412,311533,89166,122880,61440,39340032,614928,106781
