# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200ac5e7879ab70
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1200f1ae8e078c40,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1120.7,5.52,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,200,442368,27648,27,0,15008,0,0,0,0,0,851832,0,854336,0,448,216,6912,27648,27286861,601165,0,1542466,12288,258365,25556,221184,108876,26850560,615618,33175
1200f1ae8e18ada0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5898.24,5.4,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081360,67606,11,48032,5896,2184,144,0,38928,0,5478391,0,5406192,0,6336,88,2816,67584,47883652,3084427,121180,3930740,266764,1401827,277577,540672,270336,172998144,3019062,323634
1200f1ae8e72b560,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.38,5.44,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,442368,27648,27,0,15008,0,0,0,0,0,883376,0,823824,0,432,216,6912,27648,28281995,600956,0,1533592,12288,282471,12765,221184,108320,26362368,522379,18591
1200f1ae8e834920,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5893.82,65.92,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1179648,73728,12,52070,5896,2164,144,0,38928,0,5478429,0,5406192,0,6336,96,3072,73728,48010165,3080359,125196,3930852,267248,1409573,269999,540672,294912,172998144,2756866,315314
1200f1ae8edd5760,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1086.05,7.04,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,442368,27648,27,0,15008,0,0,0,0,0,851736,0,848687,0,432,2030,57552,27648,27302099,601800,0,1535054,12288,260881,12707,221184,113016,26850560,521942,18539
1200f1ae8eedf140,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5897.82,5.52,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47807,5896,2119,144,0,42464,0,5478395,0,5897664,0,6912,88,2816,67584,47989220,3076811,125548,3930740,267752,1493251,268964,540672,270336,180861696,2752489,313387
1200f1ae8f47f760,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1085.06,5.44,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,442368,27648,27,0,14472,0,0,0,0,0,883376,0,823824,0,432,224,7168,28672,27303987,601639,0,1608757,12288,300166,12786,221184,110288,26757694,522143,18720
1200f1ae8f588d80,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5891.87,5.4,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47835,6432,2164,160,0,38928,0,5478315,0,5406192,0,6336,88,2816,67584,47911412,3382373,124532,3930828,267668,1401110,269123,589824,294912,180861696,2759879,313786
1200f1ae8fb27c60,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.1,5.44,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,442368,27648,27,0,14472,0,0,0,0,0,851832,0,823824,0,432,224,7168,28672,28277051,600948,0,1544868,12288,260768,12675,221184,108696,25874176,518176,18473
1200f1ae8fc30ec0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5903.26,5.44,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47778,6432,2245,160,0,38928,0,5478411,0,5406192,0,6336,88,2816,67584,51824697,3084678,123812,3930720,268128,1401501,270537,540672,270336,172998144,2759726,316161
1200f1ae901d2a00,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.26,5.44,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,442368,27648,27,0,14472,0,0,0,0,0,851832,0,823824,0,432,216,6912,27648,28247931,621175,0,1539808,12288,260672,12779,229376,108776,26850560,522643,18616
1200f1ae902dbce0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5909.28,5.44,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,54528,42624,0,3456,1081344,67584,11,47853,6432,2177,160,0,42464,0,5478369,0,5406192,0,6336,88,2816,67584,47983502,3383575,121180,3930794,269272,1399909,269431,589824,270336,180861696,2757737,314576
1200f1ae9087efe0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1083.97,5.44,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,442368,27648,27,0,15008,0,0,0,0,0,883376,0,854336,0,448,216,6912,27648,27327364,601655,0,1535098,12288,260788,12771,221184,112352,26362368,521983,18609
1200f1ae909881a0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5887.36,5.48,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47805,6432,2193,160,0,38928,0,5478408,0,5406192,0,6336,88,2816,67584,47947347,3090521,123836,3930824,266596,1400224,269455,540672,270336,172998144,2756048,314851
1200f1ae90f25ec0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.03,5.4,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,442368,27648,27,0,14472,0,0,0,0,0,851832,0,854336,0,448,216,6912,27648,28258665,599892,0,1536322,12288,260824,12784,221184,112728,26850560,522023,18675
1200f1ae9102f0e0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5902.88,5.44,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47901,5896,1991,144,0,38928,0,5478424,0,5406192,0,6336,88,2816,67584,51871902,3378980,123656,3930832,269308,1399044,268447,589824,270336,172998144,2759153,313299
1200f1ae915d0ac0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1121.47,5.4,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,442368,27648,27,0,15008,0,0,0,0,0,851832,0,823824,0,432,216,6912,27648,27335041,620132,0,1533882,12288,258914,12747,229376,112636,26362368,518872,18603
1200f1ae916e2f20,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5892.99,6.88,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47900,5896,2065,144,0,38928,0,5976458,0,5897664,0,6912,88,2816,67584,48017286,3086187,124108,3930800,268852,1402298,267189,540672,270336,172998144,2759141,310792
1200f1ae91c82240,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1085.41,5.44,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,458752,28672,28,0,14472,0,0,0,0,0,851832,0,854336,0,448,216,6912,27648,27255207,620230,0,1538542,12288,260689,12758,229376,107072,27338752,522247,18663
1200f1ae91d8b9c0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5904.9,5.44,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,54528,42624,0,3456,1081344,67584,11,47899,5896,2229,144,0,42464,0,5478542,0,5406192,0,6336,88,2816,67584,47985162,3080264,124092,3930864,266592,1411248,267357,540672,270336,172998144,2759512,311705
1200f1ae9232db60,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.42,5.44,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,442368,27648,27,0,15008,0,0,0,0,0,851832,0,854336,0,448,216,6912,27648,27286402,620650,0,1534454,12288,266038,12715,229376,106160,26850560,522563,18621
1200f1ae92436f00,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5898.14,5.44,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47869,5896,2091,144,0,38928,0,5478375,0,5897664,0,6912,88,2816,67584,52107074,3083193,120580,3930688,266788,1399732,278717,540672,270336,172998144,2786502,324544
1200f1ae929d7660,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1085.73,5.4,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,458752,28672,28,0,14472,0,0,0,0,0,851832,0,854336,0,448,224,7168,28672,28233593,601884,0,1542714,12288,260706,22335,221184,113600,26362368,537870,30386
1200f1ae92ae0f40,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5894.69,5.44,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1179648,73728,12,52312,6683,2273,160,0,38928,0,5478292,0,5897664,0,6912,96,3072,73728,48050676,3088809,121900,3930872,266288,1637612,268775,540672,270336,172998144,2762924,313011
1200f1ae93080900,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1083.74,5.36,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,442368,27648,27,0,14472,0,0,0,0,0,851832,0,823824,0,432,216,6912,27648,27335124,619767,0,1543448,12288,258795,12757,229376,113940,26850560,521423,18617
1200f1ae93189b60,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5890.46,5.36,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47752,5896,2239,144,0,38928,0,5478537,0,5406192,0,6336,88,2816,67584,47982241,3531473,123656,3998909,267280,1400174,276900,632117,270336,188725248,2798488,321973
1200f1ae937284c0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1083.78,5.36,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,425992,26635,26,0,15008,0,0,0,0,0,851832,0,823824,0,432,216,6912,27648,28258591,601212,0,1535052,12288,260826,23893,221184,108872,26362368,590589,31088
1200f1ae938315c0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5902.62,5.44,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,54528,42624,0,3456,1081344,67584,11,47926,6432,2280,160,0,42464,0,5478373,0,5406192,0,6336,88,2816,67584,47958650,3081845,121448,3930800,267276,1399718,268635,540672,270336,172998144,2756700,313208
1200f1ae93dd2ea0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.38,5.36,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,442368,27648,27,0,14472,0,0,0,0,0,851832,0,854336,0,448,216,6912,27648,28236029,602257,0,1538162,12288,260778,12706,221184,110292,26850560,522781,18576
1200f1ae93edc220,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5895.04,5.4,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47966,5896,2085,144,0,38928,0,5478549,0,5406192,0,6336,88,2816,67584,47998860,3081947,123216,3930820,266124,1399517,268520,540672,270336,172998144,2752795,312717
1200f1ae9447bd40,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.51,38.4,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,458752,28672,28,0,14472,0,0,0,0,0,883376,0,823824,0,432,216,6912,27648,28268287,602251,0,1540074,12288,260962,12727,221184,112240,26850560,522407,18538
1200f1ae9459b5e0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5891.36,7,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47812,5896,2089,144,0,38928,0,5478402,0,5897664,0,6912,88,2816,67584,47868008,3085605,122404,3930752,268544,1406317,268061,540672,270336,172998144,2763554,312349
1200f1ae94b3a2a0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1083.23,5.8,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,458752,28672,28,0,14472,0,0,0,0,0,851736,0,797879,0,416,208,6656,26624,27383723,601791,0,1542026,12288,260917,12783,221184,108856,26362368,519044,18684
1200f1ae94c43160,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5896.22,5.48,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47939,5896,1985,144,0,38928,0,5478438,0,5406192,0,6336,88,2816,67584,47970561,3084926,120296,3930780,265884,1400117,268169,540672,270336,172998144,2759526,312012
