col	row	isTF	isLib	isDud	isAmbg	nCall	cf	ie	dr	keySNR	keySD	keySig	oneSig	zeroSig	ppf	medAbsRes	multiplier
1	2	0	1	0	0	137	0.0120	0.0088	0.00023	30.137	0.039	1.174	1.175	0.001	0.483	0.123	0.009
19	3	0	1	0	0	112	0.0120	0.0088	0.00023	14.312	0.069	0.993	1.042	0.049	0.383	0.055	0.000
18	3	0	1	0	0	114	0.0120	0.0088	0.00023	12.606	0.071	0.898	0.899	0.001	0.400	0.039	0.001
21	3	0	1	0	0	118	0.0120	0.0088	0.00023	15.892	0.059	0.941	0.945	0.005	0.417	0.020	0.001
17	3	0	1	0	0	126	0.0120	0.0088	0.00023	7.490	0.130	0.977	0.978	0.001	0.383	0.034	0.002
13	3	0	1	0	0	117	0.0120	0.0088	0.00023	37.805	0.026	1.001	1.019	0.018	0.400	0.041	0.000
0	0	0	1	0	0	148	0.0120	0.0088	0.00023	16.756	0.053	0.886	0.887	0.001	0.467	0.300	0.320
22	3	0	1	0	0	115	0.0120	0.0088	0.00023	12.844	0.073	0.939	0.947	0.008	0.417	0.033	0.001
29	0	0	1	0	0	163	0.0120	0.0088	0.00023	79.518	0.014	1.125	1.126	0.001	0.617	0.162	0.441
26	3	0	1	0	0	117	0.0120	0.0088	0.00023	20.453	0.050	1.023	1.024	0.001	0.433	0.030	0.000
24	3	0	1	0	0	123	0.0120	0.0088	0.00023	21.381	0.043	0.919	0.920	0.001	0.467	0.039	0.010
28	3	0	1	0	0	119	0.0120	0.0088	0.00023	33.970	0.029	0.991	0.993	0.002	0.483	0.032	0.003
27	3	0	1	0	0	122	0.0120	0.0088	0.00023	15.454	0.069	1.059	1.061	0.001	0.383	0.058	0.001
34	3	0	1	0	0	113	0.0120	0.0088	0.00023	18.686	0.053	0.989	1.000	0.011	0.450	0.024	0.000
30	3	0	1	0	0	118	0.0120	0.0088	0.00023	29.910	0.034	1.025	1.026	0.001	0.500	0.027	0.000
37	3	0	1	0	0	117	0.0120	0.0088	0.00023	9.026	0.114	1.029	1.036	0.007	0.433	0.045	0.000
38	3	0	1	0	0	114	0.0120	0.0088	0.00023	7.671	0.125	0.956	0.957	0.001	0.417	0.035	0.144
32	3	0	1	0	0	125	0.0120	0.0088	0.00023	12.860	0.081	1.036	1.037	0.002	0.450	0.030	0.000
36	3	0	1	0	0	114	0.0120	0.0088	0.00023	20.571	0.050	1.034	1.035	0.001	0.433	0.035	0.089
40	3	0	1	0	0	123	0.0120	0.0088	0.00023	45.522	0.022	0.998	1.006	0.007	0.450	0.020	0.000
8	3	0	1	0	0	122	0.0120	0.0088	0.00023	3.387	0.270	0.913	0.981	0.068	0.483	0.156	0.000
42	3	0	1	0	0	109	0.0120	0.0088	0.00023	8.437	0.126	1.063	1.064	0.001	0.417	0.032	0.001
12	3	0	1	0	0	114	0.0120	0.0088	0.00023	17.257	0.061	1.046	1.047	0.001	0.467	0.120	0.001
39	2	0	1	0	0	148	0.0120	0.0088	0.00023	73.671	0.014	1.042	1.048	0.006	0.467	0.117	0.001
41	3	0	1	0	0	114	0.0120	0.0088	0.00023	17.171	0.057	0.980	0.981	0.001	0.483	0.042	0.003
2	4	0	1	0	0	107	0.0120	0.0088	0.00023	17.500	0.057	0.999	1.014	0.015	0.383	0.032	0.000
