col	row	region_id	res_old	res_new	ppf	ppf2	ssq	cf	ie	dr	used_in_est	clonal
36	1	0	0.0085	0.0113	0.3750	0.4667	1.7689	0.0033	0.0000	0.0002	0	1
31	2	0	0.0557	0.1805	0.4375	0.7000	4.7075	0.0300	0.0300	0.0002	0	1
40	2	0	0.0025	0.0360	0.3125	0.4000	1.6150	0.0026	0.0092	0.0002	1	1
41	2	0	0.0025	0.0372	0.4688	0.6167	1.1216	0.0078	0.0111	0.0002	1	1
43	2	0	0.0089	0.0727	0.3438	0.4833	1.7883	0.0000	0.0195	0.0002	0	1
48	2	0	0.0048	0.0577	0.4062	0.4500	1.0112	0.0000	0.0111	0.0002	0	1
24	2	0	0.0022	0.0468	0.4375	0.4833	1.3968	0.0206	0.0049	0.0002	1	1
46	2	0	0.0121	0.0802	0.5938	0.6833	2.8077	0.0142	0.0060	0.0002	1	1
44	2	0	0.0348	0.2118	0.7188	0.9667	5.6322	0.0300	0.0300	0.0002	0	1
43	1	0	0.0118	0.0887	0.4688	0.4500	1.2897	0.0147	0.0081	0.0002	1	1
39	2	0	0.0520	0.1330	0.4375	0.6167	4.2347	0.0300	0.0300	0.0002	0	1
6	1	0	0.0016	0.0316	0.5000	0.4833	0.5550	0.0076	0.0074	0.0002	1	1
49	2	0	0.0123	0.0822	0.4375	0.6000	2.9319	0.0293	0.0126	0.0002	1	1
49	0	0	0.0020	0.0581	0.5938	0.5333	1.0252	0.0232	0.0026	0.0002	1	1
26	2	0	0.0020	0.0273	0.4375	0.4833	1.1256	0.0000	0.0140	0.0002	0	1
47	2	0	0.0035	0.0451	0.4062	0.4500	1.1380	0.0273	0.0070	0.0002	1	1
24	1	0	0.0040	0.0461	0.4062	0.3833	0.7812	0.0197	0.0038	0.0002	1	1
6	3	0	0.0033	0.0354	0.4375	0.4833	0.7082	0.0052	0.0113	0.0002	1	1
7	3	0	0.0012	0.0318	0.4062	0.4333	0.6060	0.0007	0.0033	0.0002	1	1
1	3	0	0.0041	0.0460	0.3750	0.4667	1.1455	0.0000	0.0147	0.0002	0	1
3	3	0	0.0030	0.0371	0.4375	0.4500	0.8695	0.0078	0.0054	0.0002	1	1
5	3	0	0.0101	0.0606	0.4062	0.5333	1.7315	0.0300	0.0140	0.0002	0	1
4	3	0	0.0274	0.1246	0.6875	0.9167	5.0926	0.0300	0.0300	0.0002	0	1
12	3	0	0.0960	0.1288	0.4688	0.5333	3.4295	0.0000	0.0294	0.0002	0	1
16	3	0	0.0297	0.0912	0.4688	0.6667	4.3038	0.0087	0.0125	0.0002	1	1
8	3	0	0.0324	0.1447	0.5312	0.7833	4.9772	0.0300	0.0046	0.0002	0	1
15	3	0	0.0032	0.0526	0.4375	0.4833	1.1144	0.0000	0.0105	0.0002	0	1
13	3	0	0.0040	0.0520	0.3750	0.5000	1.2039	0.0253	0.0101	0.0002	1	1
6	2	0	0.0028	0.0431	0.4062	0.4500	0.6837	0.0117	0.0080	0.0002	1	1
18	3	0	0.0092	0.0778	0.4062	0.3667	0.8563	0.0095	0.0071	0.0002	1	1
19	3	0	0.0023	0.0458	0.3438	0.4000	1.2545	0.0147	0.0123	0.0002	1	1
30	2	0	0.0228	0.0798	0.5312	0.6000	3.0904	0.0300	0.0093	0.0002	0	1
27	3	0	0.0118	0.0766	0.3438	0.4500	1.6071	0.0029	0.0070	0.0002	1	1
25	2	0	0.0037	0.0203	0.3125	0.4333	1.0886	0.0133	0.0066	0.0002	1	1
22	3	0	0.0031	0.0597	0.3438	0.4667	1.0896	0.0300	0.0065	0.0002	0	1
24	3	0	0.0033	0.0439	0.4688	0.5333	1.2922	0.0173	0.0020	0.0002	1	1
29	3	0	0.0022	0.0342	0.6250	0.5667	1.2486	0.0000	0.0083	0.0002	0	1
32	3	0	0.0022	0.0236	0.4062	0.5000	0.7956	0.0000	0.0154	0.0002	0	1
28	3	0	0.0025	0.0434	0.5000	0.5000	1.3539	0.0202	0.0072	0.0002	1	1
20	2	0	0.0016	0.0261	0.3750	0.4000	0.4524	0.0185	0.0097	0.0002	1	1
28	2	0	0.0304	0.1953	0.4375	0.7167	4.0586	0.0035	0.0099	0.0002	1	1
26	3	0	0.0016	0.0264	0.4375	0.4667	1.0090	0.0000	0.0074	0.0002	0	1
37	3	0	0.0035	0.0440	0.4688	0.4000	1.4165	0.0000	0.0111	0.0002	0	1
37	2	0	0.0030	0.0275	0.4062	0.5000	1.8882	0.0129	0.0040	0.0002	1	1
36	3	0	0.0099	0.0484	0.5000	0.4167	1.5579	0.0063	0.0077	0.0002	1	1
33	3	0	0.0373	0.2123	0.5938	0.9333	5.8612	0.0300	0.0300	0.0002	0	1
38	3	0	0.0024	0.0533	0.4688	0.4667	0.8561	0.0167	0.0139	0.0002	1	1
34	3	0	0.0006	0.0361	0.4375	0.5000	1.4001	0.0083	0.0030	0.0002	1	1
13	2	0	0.0125	0.1172	0.4375	0.6000	2.3057	0.0162	0.0098	0.0002	1	1
15	2	0	0.0098	0.0832	0.3750	0.4333	1.3121	0.0058	0.0105	0.0002	1	1
21	2	0	0.0124	0.0865	0.4062	0.5000	1.0090	0.0058	0.0103	0.0002	1	1
41	3	0	0.0024	0.0280	0.4688	0.5000	0.9072	0.0215	0.0010	0.0002	1	1
48	3	0	0.0065	0.0238	0.4375	0.4167	0.6551	0.0000	0.0035	0.0002	0	1
10	3	0	0.0280	0.1584	0.4375	0.7000	4.2607	0.0300	0.0169	0.0002	0	1
2	3	0	0.0017	0.0301	0.4688	0.4500	0.8419	0.0000	0.0057	0.0002	0	1
42	2	0	0.0251	0.1851	0.5000	0.6000	3.3306	0.0000	0.0300	0.0002	0	1
2	4	0	0.0029	0.0464	0.3750	0.4167	0.9282	0.0000	0.0057	0.0002	0	1
8	4	0	0.0019	0.0250	0.3125	0.3833	0.8483	0.0000	0.0077	0.0002	0	1
11	4	0	0.0017	0.0179	0.3438	0.4000	0.5415	0.0052	0.0083	0.0002	1	1
17	4	0	0.0027	0.0382	0.4375	0.4167	0.8527	0.0000	0.0093	0.0002	0	1
40	3	0	0.0026	0.0408	0.4375	0.5167	1.5667	0.0063	0.0079	0.0002	1	1
14	4	0	0.0017	0.0251	0.3750	0.3500	0.4770	0.0021	0.0071	0.0002	1	1
1	4	0	0.0466	0.2237	0.6250	0.9167	6.5217	0.0300	0.0300	0.0002	0	1
15	4	0	0.0018	0.0299	0.3125	0.4167	0.6610	0.0126	0.0198	0.0002	1	1
13	4	0	0.0007	0.0226	0.4688	0.4833	1.4828	0.0060	0.0124	0.0002	1	1
49	3	0	0.0514	0.2435	0.5000	0.8333	5.7147	0.0271	0.0300	0.0002	0	1
22	4	0	0.0015	0.0291	0.4688	0.5667	1.6657	0.0300	0.0108	0.0002	0	1
36	2	0	0.0039	0.0350	0.4062	0.3833	0.5462	0.0135	0.0091	0.0002	1	1
24	4	0	0.0014	0.0279	0.3750	0.4667	1.1118	0.0149	0.0045	0.0002	1	1
31	4	0	0.0016	0.0351	0.3750	0.5167	1.2699	0.0048	0.0090	0.0002	1	1
27	4	0	0.0009	0.0294	0.4062	0.3833	0.4534	0.0082	0.0071	0.0002	1	1
42	4	0	0.0087	0.0533	0.4375	0.4833	1.8324	0.0000	0.0059	0.0002	0	1
34	4	0	0.0040	0.0471	0.4375	0.4833	1.2565	0.0300	0.0110	0.0002	0	1
41	4	0	0.0016	0.0474	0.3750	0.4667	1.4158	0.0052	0.0096	0.0002	1	1
44	4	0	0.0122	0.0667	0.4375	0.5833	2.3113	0.0300	0.0000	0.0002	0	1
45	4	0	0.0040	0.0504	0.3438	0.3500	0.9472	0.0299	0.0091	0.0002	1	1
48	4	0	0.0009	0.0156	0.3438	0.4167	0.3899	0.0000	0.0099	0.0002	0	1
